timestamp,vibration_rms_mm_s,temperature_c,rpm,acoustic_noise_db,bearing_wear_percent,lubricant_quality_percent,failure_risk_score,remaining_useful_life_hours,breakdown_label
2026-01-02 00:00:00,4.957,64.67,1418.7,70.81,50.99,62.98,0.5424,96.0,0
2026-01-02 00:30:00,5.088,63.57,1402.3,71.47,50.13,63.7,0.5416,95.73,0
2026-01-02 01:00:00,5.191,62.6,1405.4,70.41,50.99,62.21,0.5486,96.0,0
2026-01-02 01:30:00,5.256,65.13,1422.2,70.87,51.75,59.85,0.5634,96.0,0
2026-01-02 02:00:00,4.907,63.94,1417.0,70.26,51.21,62.3,0.5407,95.32,0
2026-01-02 02:30:00,5.066,63.04,1414.1,71.65,51.24,60.58,0.5485,95.22,0
2026-01-02 03:00:00,5.015,63.94,1416.4,69.62,49.51,61.08,0.5431,96.0,0
2026-01-02 03:30:00,4.982,63.33,1419.0,71.85,49.58,62.86,0.5371,96.0,0
2026-01-02 04:00:00,5.463,67.52,1410.8,70.4,48.95,63.38,0.563,94.63,0
2026-01-02 04:30:00,5.181,66.14,1409.8,68.98,54.05,61.86,0.5645,95.75,0
2026-01-02 05:00:00,4.925,65.2,1416.5,70.59,49.33,61.82,0.5405,94.44,0
2026-01-02 05:30:00,5.321,67.3,1407.0,69.87,50.38,64.01,0.5591,94.34,0
2026-01-02 06:00:00,5.512,65.17,1418.7,71.13,49.95,61.96,0.565,95.09,0
2026-01-02 06:30:00,5.406,64.47,1399.6,70.2,54.23,64.7,0.5644,92.4,0
2026-01-02 07:00:00,4.942,67.78,1421.5,70.36,52.02,61.49,0.5543,92.52,0
2026-01-02 07:30:00,5.086,66.1,1418.2,68.87,54.13,58.27,0.568,93.82,0
2026-01-02 08:00:00,5.422,64.05,1415.9,70.26,51.0,62.04,0.5614,93.18,0
2026-01-02 08:30:00,5.017,64.89,1423.0,68.25,51.95,62.02,0.5496,94.67,0
2026-01-02 09:00:00,5.276,64.29,1427.1,69.25,50.75,62.87,0.5539,93.1,0
2026-01-02 09:30:00,5.36,63.74,1421.3,71.47,56.48,61.61,0.5728,92.4,0
2026-01-02 10:00:00,4.941,66.2,1401.3,70.98,48.76,61.61,0.5423,95.75,0
2026-01-02 10:30:00,5.169,68.07,1404.0,70.98,52.55,59.05,0.5701,93.62,0
2026-01-02 11:00:00,4.588,63.38,1409.4,69.69,53.0,60.77,0.5343,93.87,0
2026-01-02 11:30:00,5.05,66.56,1413.0,70.81,53.58,59.02,0.5647,91.98,0
2026-01-02 12:00:00,5.157,64.64,1417.8,70.7,52.01,59.82,0.5591,92.94,0
2026-01-02 12:30:00,4.955,64.71,1408.4,69.55,51.75,61.95,0.5464,93.62,0
2026-01-02 13:00:00,5.527,64.94,1414.3,72.2,52.9,63.06,0.5702,92.01,0
2026-01-02 13:30:00,4.918,64.16,1408.3,71.37,51.66,61.69,0.544,93.74,0
2026-01-02 14:00:00,5.139,65.73,1408.3,70.58,54.32,58.65,0.5689,92.47,0
2026-01-02 14:30:00,5.232,64.44,1402.2,70.76,56.42,61.38,0.5696,92.74,0
2026-01-02 15:00:00,5.484,66.09,1405.7,70.99,51.68,62.4,0.5694,92.27,0
2026-01-02 15:30:00,4.871,64.98,1404.7,68.53,48.76,60.61,0.5388,95.11,0
2026-01-02 16:00:00,5.417,65.26,1405.7,70.51,52.27,60.47,0.5702,92.77,0
2026-01-02 16:30:00,5.255,64.63,1420.8,70.32,57.76,60.18,0.5767,91.42,0
2026-01-02 17:00:00,5.004,64.6,1406.6,69.7,50.57,59.73,0.5495,93.57,0
2026-01-02 17:30:00,5.349,67.05,1433.1,70.74,56.27,61.05,0.5804,91.02,0
2026-01-02 18:00:00,5.248,66.32,1417.3,72.37,55.51,60.44,0.574,92.64,0
2026-01-02 18:30:00,5.194,64.88,1412.6,71.74,52.88,60.26,0.5624,89.93,0
2026-01-02 19:00:00,5.293,66.23,1404.8,70.55,54.57,58.42,0.5773,90.59,0
2026-01-02 19:30:00,5.153,66.75,1418.7,71.31,55.59,59.81,0.5726,92.32,0
2026-01-02 20:00:00,5.225,63.23,1409.0,71.97,51.69,61.87,0.5538,92.87,0
2026-01-02 20:30:00,5.35,66.51,1413.9,71.66,52.41,59.82,0.5719,92.09,0
2026-01-02 21:00:00,5.531,64.92,1433.0,70.95,51.96,63.01,0.5681,91.64,0
2026-01-02 21:30:00,5.033,66.72,1411.5,70.37,51.34,59.48,0.5578,91.32,0
2026-01-02 22:00:00,5.69,65.21,1420.2,71.81,52.78,59.9,0.5834,89.81,0
2026-01-02 22:30:00,4.928,63.56,1406.1,71.41,51.33,61.34,0.5429,90.62,0
2026-01-02 23:00:00,5.245,63.76,1411.6,71.83,53.48,57.66,0.5687,90.83,0
2026-01-02 23:30:00,5.321,65.71,1427.5,71.33,51.15,57.78,0.57,92.55,0
2026-01-03 00:00:00,5.298,66.23,1407.5,71.85,53.45,57.79,0.5759,91.59,0
2026-01-03 00:30:00,5.222,65.2,1424.8,70.83,51.58,61.24,0.5591,88.96,0
2026-01-03 01:00:00,5.217,66.81,1418.0,72.13,53.74,59.26,0.5718,91.37,0
2026-01-03 01:30:00,5.197,63.81,1407.0,71.27,55.13,63.87,0.5586,90.42,0
2026-01-03 02:00:00,5.195,66.15,1416.2,73.03,50.27,58.7,0.5619,89.97,0
