timestamp,vibration_rms_mm_s,temperature_c,rpm,acoustic_noise_db,bearing_wear_percent,lubricant_quality_percent,failure_risk_score,remaining_useful_life_hours,breakdown_label
2026-01-01 00:00:00,2.124,46.4,1457.1,56.56,0.0,100.0,0.1903,191.66,0
2026-01-01 00:30:00,1.969,44.03,1469.6,55.99,0.0,100.0,0.179,195.0,0
2026-01-01 01:00:00,2.17,43.58,1474.9,55.66,0.0,100.0,0.1849,191.27,0
2026-01-01 01:30:00,2.393,45.07,1502.4,58.67,0.0,100.0,0.1964,195.0,0
2026-01-01 02:00:00,1.957,44.8,1486.4,57.74,0.0,97.81,0.1838,195.0,0
2026-01-01 02:30:00,1.961,44.32,1463.6,58.65,2.43,93.04,0.196,193.98,0
2026-01-01 03:00:00,2.419,46.41,1485.4,59.13,0.0,100.0,0.2007,195.0,0
2026-01-01 03:30:00,2.22,46.91,1460.9,58.51,0.0,97.35,0.1989,193.29,0
2026-01-01 04:00:00,1.915,45.37,1492.4,59.11,3.38,97.23,0.1931,190.15,0
2026-01-01 04:30:00,2.172,47.9,1473.6,58.04,0.0,98.08,0.1986,194.98,0
2026-01-01 05:00:00,1.924,43.21,1478.1,56.38,0.52,100.0,0.1767,194.32,0
2026-01-01 05:30:00,1.928,44.94,1495.0,59.76,1.85,100.0,0.1845,195.0,0
2026-01-01 06:00:00,2.109,44.03,1463.6,57.31,1.3,100.0,0.1871,190.64,0
2026-01-01 06:30:00,1.574,41.99,1462.2,56.8,3.6,98.0,0.1721,192.59,0
2026-01-01 07:00:00,1.625,45.22,1471.9,57.96,2.13,95.81,0.1815,191.02,0
2026-01-01 07:30:00,1.919,45.18,1491.3,56.87,0.0,100.0,0.1801,192.66,0
2026-01-01 08:00:00,1.811,48.15,1460.5,57.63,6.51,100.0,0.2,192.41,0
2026-01-01 08:30:00,2.147,46.59,1444.7,58.79,1.62,98.46,0.198,190.22,0
2026-01-01 09:00:00,1.845,43.64,1473.1,58.81,0.83,92.02,0.1877,194.11,0
2026-01-01 09:30:00,1.723,48.84,1485.1,56.96,3.68,100.0,0.1916,191.94,0
2026-01-01 10:00:00,2.446,47.73,1492.8,57.59,1.96,100.0,0.2098,195.0,0
2026-01-01 10:30:00,2.028,46.61,1472.8,59.95,2.4,94.26,0.2021,190.38,0
2026-01-01 11:00:00,2.105,45.18,1473.3,59.1,7.7,99.5,0.2066,195.0,0
2026-01-01 11:30:00,1.736,43.89,1492.0,61.48,0.85,100.0,0.1726,192.9,0
2026-01-01 12:00:00,1.96,44.97,1455.6,60.15,0.81,98.66,0.1851,195.0,0
2026-01-01 12:30:00,2.128,47.63,1473.3,60.12,1.96,96.46,0.2037,192.16,0
2026-01-01 13:00:00,1.816,49.09,1480.2,56.33,4.41,100.0,0.1973,189.35,0
2026-01-01 13:30:00,2.202,48.5,1483.2,59.58,0.0,97.53,0.202,190.77,0
2026-01-01 14:00:00,1.962,44.87,1471.6,58.37,0.0,94.24,0.1895,187.27,0
2026-01-01 14:30:00,2.043,43.76,1478.1,57.64,0.47,92.5,0.1933,190.97,0
2026-01-01 15:00:00,1.97,46.05,1447.7,58.73,0.0,100.0,0.1841,191.69,0
2026-01-01 15:30:00,2.587,42.64,1469.6,59.91,1.01,100.0,0.1997,191.19,0
2026-01-01 16:00:00,2.125,46.44,1482.9,59.26,3.39,98.77,0.2008,194.91,0
2026-01-01 16:30:00,1.868,45.61,1465.6,57.21,0.0,97.14,0.1837,190.35,0
2026-01-01 17:00:00,2.342,45.07,1478.0,59.66,0.0,96.83,0.1994,184.99,0
2026-01-01 17:30:00,1.835,43.06,1482.6,57.6,2.51,95.14,0.1854,195.0,0
2026-01-01 18:00:00,2.196,46.89,1473.0,58.9,4.56,97.02,0.2099,188.34,0
2026-01-01 18:30:00,1.658,45.03,1479.1,58.14,0.0,91.91,0.1827,193.19,0
2026-01-01 19:00:00,1.82,43.91,1465.4,58.28,4.59,96.02,0.1909,185.65,0
2026-01-01 19:30:00,2.205,40.87,1474.4,59.77,4.64,97.25,0.1951,190.77,0
2026-01-01 20:00:00,2.345,46.02,1484.1,57.08,5.05,99.96,0.2098,187.52,0
2026-01-01 20:30:00,2.207,49.28,1478.6,61.57,5.78,97.97,0.218,181.31,0
2026-01-01 21:00:00,2.139,49.11,1469.6,55.94,8.31,100.0,0.2184,188.8,0
2026-01-01 21:30:00,2.097,45.32,1479.2,57.79,1.98,100.0,0.1916,189.37,0
2026-01-01 22:00:00,1.806,45.09,1485.1,59.26,3.21,100.0,0.184,188.74,0
2026-01-01 22:30:00,2.0,47.04,1451.8,59.6,1.96,99.31,0.1936,190.0,0
2026-01-01 23:00:00,2.069,44.43,1490.2,58.59,3.07,97.89,0.1943,188.33,0
2026-01-01 23:30:00,2.452,46.8,1472.2,58.67,6.97,94.86,0.228,189.22,0
2026-01-02 00:00:00,2.278,47.66,1481.3,59.38,0.0,99.98,0.1989,189.39,0
2026-01-02 00:30:00,1.755,48.52,1490.4,58.44,1.12,100.0,0.1855,188.65,0
2026-01-02 01:00:00,2.281,46.15,1459.5,60.89,6.78,98.69,0.2141,188.12,0
2026-01-02 01:30:00,2.108,45.99,1467.4,60.08,5.95,100.0,0.2036,185.82,0
2026-01-02 02:00:00,2.039,44.81,1472.4,60.14,2.56,92.99,0.2003,190.16,0
2026-01-02 02:30:00,2.365,44.93,1466.4,57.4,5.67,94.06,0.2182,187.4,0
2026-01-02 03:00:00,2.474,46.03,1496.5,58.75,4.46,100.0,0.2128,187.03,0
2026-01-02 03:30:00,2.453,47.13,1465.3,58.43,7.42,98.22,0.2249,189.53,0
2026-01-02 04:00:00,2.014,48.14,1468.9,57.39,3.92,100.0,0.2007,188.5,0
2026-01-02 04:30:00,2.151,45.08,1477.9,59.45,6.37,97.29,0.2079,185.64,0
