timestamp,vibration_sensor,temperature_sensor,pressure_sensor,rpm_sensor,bearing_wear_sensor,health_status,actual_remaining_life
0,0.26,43.01,97.48,1471.06,1.48,Healthy,1500
1,0.186,40.83,99.21,1467.26,1.23,Healthy,1498
2,0.284,41.29,100.59,1458.72,1.9,Healthy,1497
3,0.392,43.13,105.74,1489.8,3.37,Healthy,1496
4,0.184,41.27,102.03,1487.86,1.63,Healthy,1495
5,0.187,40.95,98.27,1498.4,2.71,Healthy,1494
6,0.408,44.1,103.01,1494.07,3.76,Healthy,1493
7,0.314,43.65,98.47,1490.67,1.55,Healthy,1492
8,0.168,41.45,103.01,1504.27,2.82,Healthy,1491
9,0.293,44.11,100.52,1485.58,2.09,Healthy,1490
10,0.175,40.03,100.69,1470.76,1.69,Healthy,1489
11,0.178,41.19,103.54,1511.04,2.23,Healthy,1488
12,0.266,41.27,98.75,1477.43,2.86,Healthy,1487
13,0.01,37.84,97.26,1482.7,1.2,Healthy,1486
14,0.036,40.19,99.01,1495.18,0.84,Healthy,1485
15,0.179,41.28,102.97,1475.53,0.92,Healthy,1484
16,0.128,42.84,97.6,1486.75,3.45,Healthy,1483
17,0.29,43.08,95.79,1493.15,3.09,Healthy,1482
18,0.146,39.94,99.83,1499.69,1.32,Healthy,1481
19,0.089,42.94,101.55,1479.84,1.85,Healthy,1480
20,0.437,44.96,104.59,1471.54,4.62,Healthy,1479
21,0.237,42.6,100.26,1508.66,2.77,Healthy,1478
22,0.276,41.93,100.56,1496.53,5.25,Healthy,1477
23,0.1,39.65,102.81,1532.87,0.72,Healthy,1476
24,0.208,41.22,97.3,1511.87,1.77,Healthy,1475
25,0.29,43.63,100.67,1507.55,3.02,Healthy,1474
26,0.142,43.39,101.09,1468.64,2.49,Healthy,1473
27,0.328,44.48,102.54,1498.99,1.77,Healthy,1472
28,0.214,41.12,100.05,1489.42,0.17,Healthy,1471
29,0.254,40.69,101.34,1478.65,1.95,Healthy,1470
30,0.22,41.93,96.12,1493.13,0.56,Healthy,1469
31,0.517,42.02,101.27,1493.73,4.75,Healthy,1468
32,0.297,42.76,102.39,1495.67,3.47,Healthy,1467
33,0.174,41.22,98.91,1476.34,0.85,Healthy,1466
34,0.403,42.67,102.13,1495.23,2.6,Healthy,1465
35,0.161,39.37,101.7,1481.28,1.68,Healthy,1464
36,0.336,43.3,100.99,1488.8,4.22,Healthy,1463
37,0.078,39.99,100.73,1491.01,-0.91,Healthy,1462
38,0.157,39.85,98.86,1488.99,2.39,Healthy,1461
39,0.343,39.3,101.3,1498.34,4.25,Healthy,1460
40,0.411,43.26,103.28,1462.77,5.07,Healthy,1459
41,0.346,44.9,102.05,1519.43,4.68,Healthy,1458
42,0.315,44.51,100.4,1453.05,5.35,Healthy,1457
43,0.296,41.82,101.93,1475.93,2.6,Healthy,1456
44,0.158,40.54,102.22,1499.57,1.69,Healthy,1455
45,0.252,42.58,97.16,1499.19,2.1,Healthy,1454
46,0.286,41.09,103.75,1485.33,2.86,Healthy,1453
47,0.471,44.13,101.68,1477.77,6.24,Healthy,1452
48,0.389,44.03,102.79,1489.91,2.54,Healthy,1451
49,0.139,42.58,103.09,1489.59,0.53,Healthy,1450
50,0.392,43.02,99.22,1507.42,5.3,Healthy,1449
51,0.31,42.24,100.13,1501.15,4.12,Healthy,1448
52,0.278,41.17,100.81,1503.19,2.42,Healthy,1447
53,0.436,42.5,100.61,1462.99,5.21,Healthy,1446
54,0.489,43.64,105.92,1476.55,5.24,Healthy,1445
55,0.481,44.29,100.69,1472.97,6.31,Healthy,1444
56,0.271,43.27,100.24,1469.7,2.79,Healthy,1443
57,0.338,41.74,102.1,1491.28,4.4,Healthy,1442
58,0.418,45.13,99.68,1471.52,6.82,Healthy,1441
59,0.498,43.66,101.7,1489.38,5.58,Healthy,1440
60,0.327,42.59,102.27,1466.04,3.32,Healthy,1439
61,0.365,42.02,101.16,1514.52,4.37,Healthy,1438
62,0.257,39.15,101.1,1472.28,2.21,Healthy,1437
63,0.25,43.06,100.19,1492.71,4.89,Healthy,1436
64,0.494,44.84,99.44,1492.03,5.12,Healthy,1435
65,0.562,44.16,103.45,1464.43,5.35,Healthy,1434
66,0.394,43.23,105.48,1497.62,3.1,Healthy,1433
67,0.526,44.83,102.67,1454.2,6.36,Healthy,1432
68,0.452,41.74,102.71,1505.8,5.39,Healthy,1431
69,0.334,42.04,103.06,1485.21,2.85,Healthy,1430
70,0.458,44.62,99.75,1468.65,5.16,Healthy,1429
71,0.602,43.31,106.42,1467.5,4.52,Healthy,1428
72,0.417,43.69,102.49,1495.81,4.35,Healthy,1427
73,0.612,43.27,106.32,1461.95,6.57,Healthy,1426
74,0.113,41.46,99.1,1481.44,2.83,Healthy,1425
75,0.529,44.19,106.28,1472.22,4.52,Healthy,1424
76,0.444,41.61,103.77,1458.85,3.16,Healthy,1423
77,0.4,44.6,103.11,1514.75,3.11,Healthy,1422
78,0.45,42.72,102.72,1469.54,3.17,Healthy,1421
79,0.204,40.66,100.52,1505.79,3.38,Healthy,1420
80,0.419,43.59,104.5,1484.91,5.74,Healthy,1419
81,0.491,45.31,102.74,1460.16,5.23,Healthy,1418
82,0.629,43.81,99.21,1471.59,7.51,Healthy,1417
83,0.393,43.21,99.73,1496.45,4.06,Healthy,1416
84,0.361,43.4,101.43,1480.38,3.51,Healthy,1415
85,0.401,44.04,102.62,1503.45,3.67,Healthy,1414
86,0.574,44.8,102.76,1492.57,5.43,Healthy,1413
87,0.506,43.61,104.97,1493.75,3.52,Healthy,1412
88,0.406,42.26,98.13,1473.43,4.33,Healthy,1411
89,0.535,44.38,102.96,1456.5,5.31,Healthy,1410
90,0.488,42.62,98.8,1467.0,5.62,Healthy,1409
91,0.595,41.26,104.5,1476.74,6.05,Healthy,1408
92,0.398,43.71,101.8,1491.91,3.82,Healthy,1407
93,0.446,44.65,103.07,1440.84,3.59,Healthy,1406
94,0.441,40.7,100.48,1479.99,4.49,Healthy,1405
95,0.316,41.32,104.14,1488.63,3.9,Healthy,1404
96,0.53,44.98,104.73,1471.15,4.16,Healthy,1403
97,0.529,46.7,103.81,1499.44,5.38,Healthy,1402
98,0.501,44.04,102.25,1485.03,5.25,Healthy,1401
99,0.476,42.93,103.54,1502.18,4.04,Healthy,1400
100,0.337,42.48,100.27,1480.95,2.78,Healthy,1399
101,0.459,45.33,104.01,1496.2,4.83,Healthy,1398
102,0.472,43.0,105.66,1508.2,3.59,Healthy,1397
103,0.42,42.4,104.24,1504.72,4.55,Healthy,1396
104,0.5,43.42,101.04,1457.85,4.1,Healthy,1395
105,0.571,43.42,103.58,1469.75,6.77,Healthy,1394
106,0.752,46.16,101.17,1459.96,9.85,Healthy,1393
107,0.549,46.34,103.89,1484.09,4.63,Healthy,1392
108,0.562,44.89,103.71,1487.05,6.16,Healthy,1391
109,0.526,43.9,98.89,1461.25,4.53,Healthy,1390
110,0.307,42.11,99.21,1487.39,4.11,Healthy,1389
111,0.537,42.42,102.12,1439.46,4.11,Healthy,1388
112,0.551,45.47,102.15,1501.16,5.99,Healthy,1387
113,0.842,46.65,101.79,1452.87,7.55,Healthy,1386
114,0.527,44.0,103.41,1477.3,5.06,Healthy,1385
115,0.589,48.54,103.45,1467.92,4.86,Healthy,1384
116,0.552,44.77,102.37,1495.8,6.34,Healthy,1383
117,0.419,42.45,100.58,1430.08,3.35,Healthy,1382
118,0.699,45.08,105.59,1468.23,7.54,Healthy,1381
119,0.655,46.62,106.59,1468.6,6.21,Healthy,1380
120,0.663,45.44,102.35,1461.99,6.52,Healthy,1379
121,0.462,41.97,101.09,1510.27,4.77,Healthy,1378
122,0.743,47.04,104.7,1450.61,6.67,Healthy,1377
123,0.409,42.47,101.33,1495.48,4.3,Healthy,1376
124,0.651,47.46,102.98,1477.12,8.04,Healthy,1375
125,0.846,48.07,105.71,1484.62,7.69,Healthy,1374
126,0.468,43.21,98.52,1466.94,5.85,Healthy,1373
127,0.522,45.71,105.25,1463.33,6.72,Healthy,1372
128,0.605,44.92,103.17,1492.52,5.23,Healthy,1371
129,0.535,45.31,101.85,1483.56,3.9,Healthy,1370
130,0.413,43.88,101.89,1453.61,4.43,Healthy,1369
131,0.61,43.87,102.98,1462.83,5.55,Healthy,1368
132,0.478,43.05,98.93,1485.46,6.64,Healthy,1367
133,0.665,46.56,106.31,1485.16,6.68,Healthy,1366
134,0.501,43.61,102.59,1465.23,4.21,Healthy,1365
135,0.8,45.92,104.89,1411.53,6.86,Healthy,1364
136,0.523,43.04,104.52,1485.87,6.32,Healthy,1363
137,0.582,45.16,100.87,1451.85,5.25,Healthy,1362
138,0.721,48.24,104.55,1431.24,7.25,Healthy,1361
139,0.479,42.55,101.86,1427.47,5.74,Healthy,1360
140,0.657,45.28,104.98,1485.09,6.08,Healthy,1359
141,0.79,48.01,99.69,1466.79,7.85,Healthy,1358
142,0.443,43.45,102.02,1476.01,4.41,Healthy,1357
143,0.661,45.83,102.1,1495.26,7.29,Healthy,1356
144,0.673,44.11,104.23,1481.18,7.32,Healthy,1355
145,0.739,46.42,104.63,1495.85,7.17,Healthy,1354
146,0.5,43.77,101.08,1452.45,5.06,Healthy,1353
147,0.493,45.12,101.04,1477.21,4.55,Healthy,1352
148,0.717,47.16,103.36,1438.64,5.69,Healthy,1351
149,0.693,48.65,101.67,1464.69,7.19,Healthy,1350
150,0.69,46.22,105.14,1464.46,8.8,Healthy,1349
151,0.705,46.03,102.79,1479.56,6.17,Healthy,1348
152,0.585,44.91,97.11,1474.5,5.08,Healthy,1347
153,0.697,45.16,102.74,1479.84,6.1,Healthy,1346
154,0.708,46.07,101.46,1480.81,7.8,Healthy,1345
155,0.59,44.36,99.69,1512.24,6.35,Healthy,1344
156,0.903,47.42,102.04,1453.71,8.87,Healthy,1343
157,0.739,47.49,103.91,1449.82,6.47,Healthy,1342
158,0.542,43.13,105.37,1480.04,5.51,Healthy,1341
159,0.767,47.5,104.46,1451.06,6.1,Healthy,1340
160,0.574,46.17,101.66,1500.84,5.88,Healthy,1339
161,0.789,46.17,104.85,1459.42,8.76,Healthy,1338
162,0.836,44.14,103.26,1452.19,7.11,Healthy,1337
163,0.602,44.08,101.62,1464.44,4.48,Healthy,1336
164,0.819,48.11,101.79,1476.08,9.77,Healthy,1335
165,0.756,46.02,100.28,1463.15,6.95,Healthy,1334
166,0.808,45.27,103.26,1452.09,9.22,Healthy,1333
167,0.94,46.91,105.02,1487.67,9.25,Healthy,1332
168,0.686,46.5,103.24,1453.71,6.7,Healthy,1331
169,0.628,45.68,102.31,1472.37,6.72,Healthy,1330
170,0.615,44.63,101.18,1484.07,5.27,Healthy,1329
171,0.627,44.57,104.35,1442.43,6.4,Healthy,1328
172,0.719,45.28,100.96,1476.31,6.8,Healthy,1327
173,0.772,45.07,105.41,1446.28,6.4,Healthy,1326
174,0.767,48.08,101.83,1480.29,8.01,Healthy,1325
175,0.836,46.3,102.68,1445.04,8.1,Healthy,1324
176,0.742,47.39,100.77,1479.1,7.26,Healthy,1323
177,0.918,49.17,103.59,1478.61,7.97,Healthy,1322
178,0.714,46.91,105.52,1483.35,8.74,Healthy,1321
179,1.076,48.09,106.41,1456.12,11.63,Healthy,1320
180,0.827,47.1,106.09,1458.6,9.24,Healthy,1319
181,0.653,45.19,104.31,1460.26,6.22,Healthy,1318
182,0.63,43.96,100.94,1498.13,4.57,Healthy,1317
183,0.819,46.94,103.44,1450.53,10.15,Healthy,1316
184,0.738,44.49,102.13,1448.13,7.32,Healthy,1315
185,0.853,48.25,106.93,1473.57,7.79,Healthy,1314
186,0.828,46.06,101.74,1448.43,8.69,Healthy,1313
187,0.765,46.36,105.61,1448.47,8.82,Healthy,1312
188,0.675,45.74,105.16,1443.63,6.73,Healthy,1311
189,0.598,44.47,106.65,1464.39,7.26,Healthy,1310
190,0.729,46.54,102.83,1465.68,8.38,Healthy,1309
191,0.889,46.54,105.87,1464.38,7.81,Healthy,1308
192,0.815,47.56,108.64,1480.45,7.48,Healthy,1307
193,0.643,43.53,101.98,1480.56,7.39,Healthy,1306
194,0.816,46.68,101.01,1459.84,5.45,Healthy,1305
195,0.845,49.08,100.46,1458.42,8.3,Healthy,1304
196,0.695,44.36,104.9,1477.89,5.52,Healthy,1303
197,0.823,45.77,100.35,1485.87,7.75,Healthy,1302
198,0.815,47.13,103.33,1465.62,7.85,Healthy,1301
199,0.674,45.6,104.24,1461.25,6.38,Healthy,1300
200,0.857,47.27,104.65,1443.58,8.01,Healthy,1299
201,0.884,47.66,105.27,1434.2,7.74,Healthy,1298
202,0.95,48.36,105.19,1469.25,11.79,Healthy,1297
203,0.949,48.93,107.3,1467.68,11.36,Healthy,1296
204,0.661,45.78,101.4,1480.66,5.44,Healthy,1295
