timestamp,vibration_sensor,temperature_sensor,pressure_sensor,rpm_sensor,bearing_wear_sensor,health_status,actual_remaining_life
0,0.16770000000000002,47.38,106.41,1458.48,6.63,Healthy,1400
1,0.099,46.72,106.1,1468.22,2.34,Healthy,1400
2,0.1308,46.86,105.95,1468.96,3.54,Healthy,1400
3,0.10469999999999999,44.89,99.67,1463.75,4.15,Healthy,1400
4,0.07379999999999999,46.24,105.96,1467.7,3.58,Healthy,1400
5,0.0063,38.64,104.47,1505.28,-2.21,Healthy,1400
6,0.1197,48.67,106.47,1493.38,5.07,Healthy,1400
7,0.0792,41.81,104.51,1433.65,2.19,Healthy,1400
8,0.0813,43.5,104.18,1466.65,2.73,Healthy,1400
9,0.0984,44.89,106.55,1448.45,1.87,Healthy,1400
10,0.2028,47.86,110.86,1439.36,6.33,Healthy,1400
11,0.2358,50.59,104.33,1449.54,9.9,Healthy,1400
12,0.1407,44.64,107.51,1471.26,5.21,Healthy,1400
13,0.1134,45.8,104.05,1458.62,3.66,Healthy,1400
14,0.08489999999999999,43.68,103.37,1423.77,2.96,Healthy,1400
15,0.1623,47.31,101.4,1431.73,6.58,Healthy,1400
16,0.22469999999999998,48.64,105.78,1462.27,8.81,Healthy,1400
17,0.1368,46.24,102.24,1396.93,4.92,Healthy,1400
18,0.04409999999999999,42.5,101.72,1498.77,3.04,Healthy,1400
19,0.1845,46.77,102.95,1460.69,8.03,Healthy,1400
20,0.20220000000000002,48.49,104.92,1475.27,7.95,Healthy,1400
21,0.08969999999999999,46.11,102.78,1460.68,3.36,Healthy,1400
22,0.1722,46.27,105.69,1405.93,7.17,Healthy,1400
23,0.1878,46.33,101.72,1458.15,7.3,Healthy,1400
24,0.16770000000000002,47.95,101.74,1480.12,7.52,Healthy,1400
25,0.1386,46.11,105.67,1477.26,6.25,Healthy,1400
26,0.2229,49.94,104.47,1428.25,6.85,Healthy,1400
27,0.1623,45.51,107.93,1454.86,4.54,Healthy,1400
28,0.1167,42.83,104.9,1448.81,3.37,Healthy,1400
29,0.0945,44.04,105.41,1446.22,4.74,Healthy,1400
30,0.24659999999999999,48.25,110.46,1459.91,7.0,Healthy,1400
31,0.2208,48.51,105.64,1416.86,8.61,Healthy,1400
32,0.2001,47.05,104.57,1426.99,7.81,Healthy,1400
33,0.17939999999999998,48.49,107.77,1425.81,8.09,Healthy,1400
34,0.1785,46.92,106.84,1417.48,6.78,Healthy,1400
35,0.1569,46.93,104.67,1457.08,4.01,Healthy,1400
36,0.1887,47.9,109.26,1474.08,5.68,Healthy,1400
37,0.1158,45.77,103.79,1456.63,2.71,Healthy,1400
38,0.1812,47.4,105.7,1416.7,5.94,Healthy,1400
39,0.2031,48.86,106.12,1464.62,7.21,Healthy,1400
40,0.24749999999999997,48.23,104.61,1475.84,7.56,Healthy,1400
41,0.2211,50.73,106.62,1428.93,10.02,Healthy,1400
42,0.2616,49.49,110.72,1425.88,7.87,Healthy,1400
43,0.28919999999999996,48.71,108.9,1443.13,12.36,Healthy,1400
44,0.279,50.65,107.66,1469.18,11.77,Healthy,1400
45,0.25529999999999997,48.38,106.7,1426.01,10.53,Healthy,1400
46,0.2373,50.12,107.58,1411.12,7.8,Healthy,1400
47,0.1956,51.18,107.78,1461.32,7.61,Healthy,1400
48,0.2757,49.09,109.03,1451.65,8.44,Healthy,1400
49,0.3204,52.11,107.58,1426.72,12.94,Healthy,1400
50,0.2628,47.25,108.07,1423.9,9.54,Healthy,1400
51,0.3363,52.77,109.93,1445.81,11.8,Healthy,1400
52,0.18389999999999998,46.19,103.16,1460.94,5.16,Healthy,1400
53,0.2034,47.16,106.49,1429.21,4.23,Healthy,1400
54,0.2961,49.23,102.52,1431.71,9.51,Healthy,1400
55,0.2721,51.26,108.65,1404.91,11.42,Healthy,1400
56,0.3216,53.16,110.09,1441.47,11.27,Healthy,1400
57,0.2643,49.97,109.16,1430.18,9.47,Healthy,1400
58,0.2283,47.55,105.58,1432.36,9.22,Healthy,1400
59,0.2601,52.19,107.98,1435.92,11.89,Healthy,1400
60,0.2031,46.97,109.62,1447.04,9.17,Healthy,1400
61,0.2235,45.46,110.0,1462.44,6.93,Healthy,1400
62,0.3204,52.3,108.33,1439.62,9.22,Healthy,1400
63,0.318,49.88,108.71,1423.56,14.73,Healthy,1400
64,0.2973,52.4,110.72,1447.26,13.85,Healthy,1400
65,0.20550000000000002,47.6,102.36,1454.55,7.78,Healthy,1400
66,0.2691,50.98,106.57,1425.78,8.21,Healthy,1400
67,0.2322,51.06,109.98,1438.58,9.76,Healthy,1400
68,0.3423,50.45,111.28,1419.71,12.41,Healthy,1400
69,0.26489999999999997,49.1,108.22,1446.96,9.57,Healthy,1400
70,0.24419999999999997,49.22,103.12,1431.21,10.12,Healthy,1400
71,0.2964,53.2,107.8,1422.0,11.3,Healthy,1400
72,0.2682,49.06,105.89,1478.62,8.29,Healthy,1400
73,0.3657,52.08,110.14,1439.74,12.98,Healthy,1400
74,0.2676,50.74,105.33,1418.67,10.67,Healthy,1400
75,0.2394,48.32,104.22,1452.65,9.44,Healthy,1400
76,0.20729999999999998,48.45,100.98,1448.06,7.94,Healthy,1400
77,0.30449999999999994,48.81,111.14,1437.87,12.38,Healthy,1400
78,0.2823,53.79,106.65,1435.98,9.88,Healthy,1400
79,0.24479999999999996,47.32,107.29,1465.36,9.21,Healthy,1400
80,0.36419999999999997,52.45,109.28,1426.89,8.97,Healthy,1400
81,0.3423,52.22,106.18,1421.57,11.97,Healthy,1400
82,0.3126,54.25,105.1,1450.83,12.45,Healthy,1400
83,0.37679999999999997,51.31,107.02,1422.34,13.31,Healthy,1400
84,0.3465,55.37,107.12,1424.9,12.1,Healthy,1400
85,0.2811,51.57,108.54,1440.04,8.96,Healthy,1400
86,0.2727,50.81,105.47,1432.47,11.31,Healthy,1400
87,0.3579,51.26,113.52,1420.58,13.83,Healthy,1400
88,0.34019999999999995,53.06,111.37,1410.41,13.54,Healthy,1400
89,0.3312,50.85,110.64,1408.28,9.9,Healthy,1400
90,0.2868,52.5,107.43,1410.25,10.3,Healthy,1400
91,0.3534,51.14,112.85,1390.49,12.59,Healthy,1400
92,0.29309999999999997,50.62,107.32,1411.79,10.38,Healthy,1400
93,0.3237,50.88,108.4,1422.22,11.07,Healthy,1400
94,0.39449999999999996,52.35,110.31,1416.52,14.01,Healthy,1400
95,0.3006,52.13,109.77,1423.91,12.13,Healthy,1400
96,0.2607,50.62,108.81,1384.73,7.07,Healthy,1400
97,0.285,52.37,106.51,1467.12,12.76,Healthy,1400
98,0.37829999999999997,50.68,108.23,1440.87,14.5,Healthy,1400
99,0.3459,53.97,110.52,1432.17,12.63,Healthy,1400
100,0.3294,55.64,110.38,1467.05,13.26,Healthy,1400
101,0.3132,50.72,107.28,1406.29,9.6,Healthy,1400
