timestamp,vibration_sensor,temperature_sensor,pressure_sensor,rpm_sensor,bearing_wear_sensor,health_status,actual_remaining_life,timeline,RMS,RollingMean,RollingSTD,RMS_Diff,EMA,Predicted_RUL,Actual_RUL
301,2.06,67.65,126.94,1338.08,27.48,Healthy,200,273,1.739,1.67,0.048,0.003,1.69,198.61,199.07
302,2.032,63.24,119.84,1285.79,25.79,Healthy,200,274,1.743,1.549,0.026,0.032,1.637,200.2,197.15
303,1.94,68.32,121.58,1309.09,26.71,Healthy,200,275,1.634,1.489,0.059,0.01,1.529,202.47,197.56
304,2.033,63.16,121.06,1304.47,29.68,Healthy,200,276,1.737,1.581,0.037,-0.012,1.618,198.62,202.11
305,2.051,63.67,126.03,1289.77,26.58,Healthy,200,277,1.774,1.641,0.05,-0.002,1.649,200.99,201.95
306,1.955,67.64,121.76,1269.34,29.88,Healthy,200,278,1.73,1.522,0.05,0.016,1.558,201.08,203.08
307,2.011,72.03,117.23,1319.65,28.3,Healthy,200,279,1.694,1.572,0.02,0.007,1.643,204.43,198.96
308,1.92,66.89,127.85,1307.17,26.96,Healthy,200,280,1.658,1.501,0.05,0.0,1.542,198.82,197.07
309,2.056,68.81,125.14,1292.94,25.03,Healthy,200,281,1.727,1.59,0.032,0.008,1.682,205.66,200.35
310,2.053,67.99,119.38,1297.99,28.29,Healthy,199,282,1.868,1.594,0.043,0.01,1.616,202.43,200.5
311,2.12,65.93,129.36,1263.45,29.47,Healthy,199,283,1.912,1.614,0.035,0.012,1.697,194.35,199.14
312,1.9,69.4,122.41,1337.1,26.47,Healthy,199,284,1.599,1.515,0.028,0.015,1.591,194.18,199.37
313,2.061,70.19,121.47,1265.19,29.36,Healthy,199,285,1.767,1.618,0.044,0.001,1.679,199.88,197.57
314,2.256,69.44,121.62,1314.46,26.09,Healthy,199,286,1.957,1.806,0.032,0.026,1.844,201.47,202.79
315,2.006,66.4,122.54,1277.5,28.08,Healthy,199,287,1.722,1.576,0.049,0.012,1.683,198.21,204.44
316,2.113,66.16,122.01,1309.81,27.78,Healthy,199,288,1.832,1.667,0.04,-0.001,1.651,197.66,200.71
317,2.066,65.21,125.76,1307.23,26.34,Healthy,199,289,1.764,1.614,0.029,0.017,1.696,202.25,201.11
318,1.877,66.0,126.8,1310.29,29.44,Healthy,198,290,1.788,1.487,0.052,0.026,1.546,197.05,199.52
319,1.952,67.77,123.81,1299.35,33.42,Healthy,198,291,1.566,1.55,0.025,0.005,1.625,198.19,195.84
320,1.962,70.08,123.09,1302.56,28.44,Healthy,198,292,1.635,1.616,0.047,-0.018,1.597,196.01,199.7
321,1.955,68.11,126.81,1318.64,25.72,Healthy,198,293,1.645,1.506,0.034,0.038,1.6,194.22,199.84
322,2.307,71.0,120.76,1284.74,31.17,Healthy,198,294,1.926,1.817,0.049,-0.002,1.866,188.28,195.95
323,2.025,65.32,130.23,1260.95,27.43,Healthy,198,295,1.728,1.637,0.027,0.03,1.641,195.06,198.92
324,2.081,66.96,125.55,1286.92,28.66,Healthy,198,296,1.802,1.687,0.029,0.044,1.608,197.54,199.18
325,2.094,66.92,124.74,1284.07,27.14,Healthy,198,297,1.822,1.648,0.034,0.026,1.708,200.44,199.26
326,1.963,67.1,127.62,1311.51,28.4,Healthy,197,298,1.674,1.582,0.035,0.021,1.582,196.35,199.2
327,2.164,70.55,129.31,1296.63,29.97,Healthy,197,299,1.824,1.701,0.04,0.014,1.777,194.55,201.18
328,1.947,65.5,128.88,1315.74,29.86,Healthy,197,300,1.686,1.518,0.032,0.014,1.55,199.93,196.71
329,1.971,67.76,126.66,1281.71,26.7,Healthy,197,301,1.688,1.547,0.036,0.006,1.606,192.66,194.19
330,1.986,68.05,126.37,1332.53,30.41,Healthy,197,302,1.68,1.548,0.031,0.013,1.597,197.97,195.35
331,2.137,72.43,125.12,1305.54,30.06,Healthy,197,303,1.796,1.676,0.042,0.014,1.7,197.07,198.0
332,2.252,71.02,131.92,1276.17,30.48,Healthy,197,304,1.923,1.844,0.033,0.001,1.8,190.63,195.95
333,1.989,69.02,126.51,1342.1,30.67,Healthy,197,305,1.662,1.515,0.047,-0.007,1.684,200.54,196.06
334,1.877,72.04,125.15,1326.0,25.09,Healthy,197,306,1.565,1.464,0.042,0.007,1.545,193.8,196.72
335,2.099,69.97,127.64,1266.78,25.24,Healthy,196,307,1.848,1.651,0.034,0.037,1.705,199.54,196.14
336,2.335,73.09,124.78,1319.04,30.05,Healthy,196,308,2.053,1.783,0.049,0.029,1.821,192.45,191.92
337,2.058,70.51,130.05,1296.45,32.23,Healthy,196,309,1.68,1.537,0.041,0.019,1.666,189.8,195.82
338,1.936,70.41,126.65,1270.95,27.54,Healthy,196,310,1.593,1.508,0.051,-0.001,1.588,194.41,194.41
339,2.082,66.17,123.91,1264.35,33.01,Healthy,196,311,1.771,1.596,0.044,0.012,1.678,197.84,197.52
