feature,importance
vibration_sensor_mean_30,0.09263299358468188
bearing_wear_sensor_mean_30,0.0839702143240702
bearing_wear_sensor_mean_15,0.03035727514027578
vibration_sensor_mean_15,0.026193979870102534
vibration_sensor_ema_10,0.020031503527478803
bearing_wear_sensor_ema_10,0.01723929585280099
bearing_wear_sensor_max_30,0.012248067315786582
bearing_wear_sensor_min_30,0.010715292361140058
vibration_sensor_min_5,0.008929447514133345
bearing_wear_sensor_min_5,0.008828504220714045
vibration_sensor_max_30,0.008019686948311231
vibration_sensor_min_30,0.0048220383574310395
bearing_wear_sensor_max_5,0.0044449770722754115
bearing_wear_sensor_mean_5,0.004004473686471093
bearing_wear_sensor_min_15,0.003948512737830747
vibration_sensor_max_5,0.003399767747694182
vibration_sensor_min_15,0.002965930783959969
bearing_wear_sensor,0.002771379166927209
bearing_wear_sensor_max_15,0.002534953504666409
vibration_sensor,0.0011809750578392739
vibration_sensor_max_15,0.0010101612299423157
temperature_sensor_max_30,0.0009969482336099496
pressure_sensor_max_15,0.0007905839770179029
vibration_sensor_mean_5,0.0006789220733057812
vibration_sensor_std_5,0.0006546634852748814
temperature_sensor_std_5,0.0006198759097593737
rpm_sensor_max_15,0.0006120925979901517
pressure_sensor_max_30,0.0006069974468384925
rpm_sensor_std_15,0.0005780636711116277
pressure_sensor_std_15,0.0005310233016116729
rpm_sensor_std_30,0.0005147428610865331
temperature_sensor_ema_10,0.0005081252365251862
temperature_sensor_min_30,0.00048451850015227227
temperature_sensor,0.00047954076015417624
bearing_wear_sensor_std_30,0.00045570420997108276
temperature_sensor_min_5,0.00044138704793901984
rpm_sensor_mean_15,0.00041429322787401153
pressure_sensor_std_5,0.0004096366900526969
rpm_sensor_max_30,0.000395377452017553
temperature_sensor_min_15,0.0003509422347907047
temperature_sensor_diff,0.0003442159136945991
rpm_sensor_ema_10,0.00033104050084443114
temperature_sensor_mean_15,0.00033088616675411384
rpm_sensor_mean_30,0.00032924307958519787
pressure_sensor_ema_10,0.0003272910671941685
bearing_wear_sensor_std_5,0.00030305757721636007
rpm_sensor_min_30,0.00030169689750148915
pressure_sensor_mean_5,0.0002495751518817566
temperature_sensor_mean_5,0.00024724041773174316
bearing_wear_sensor_std_15,0.00024062336904890144
pressure_sensor_std_30,0.00023317860884106126
rpm_sensor_max_5,0.00021896850335810175
pressure_sensor_min_5,0.00021886252784342728
temperature_sensor_std_15,0.00021611847450464332
pressure_sensor_min_15,0.00020498154420807907
pressure_sensor_mean_15,0.00019965428581086297
temperature_sensor_max_15,0.00019137116271176452
temperature_sensor_max_5,0.00019066062966515042
temperature_sensor_mean_30,0.0001796376028202626
vibration_sensor_std_30,0.00017617969641238153
bearing_wear_sensor_diff,0.00016233726969517063
vibration_sensor_std_15,0.00013549952656080974
rpm_sensor_min_5,0.00013270343500146938
pressure_sensor_mean_30,0.00010720248054018998
vibration_sensor_diff,9.832098158895952e-05
rpm_sensor_mean_5,8.984650872067094e-05
rpm_sensor_diff,4.950204127446531e-05
pressure_sensor,4.60619150033394e-05
rpm_sensor_min_15,4.4473136751019945e-05
pressure_sensor_diff,2.7561031760074018e-05
pressure_sensor_min_30,2.4571522626240264e-05
pressure_sensor_max_5,2.028926404992458e-05
temperature_sensor_std_30,1.8883332585871253e-05
rpm_sensor_std_5,1.0652247953111132e-05
rpm_sensor,1.2351449916711759e-06
health_status_Healthy,0.0
